"item_code","deskripsi","qty_on_hand","min_stock","selisih","lokasi_rak"
"O-15732-00","KEYENCE AMPLIFIER SENSOR OPTICAL FIBER PNP OUTPUT CONNECTOR M8 FU-12","0","1","1","-"
"O-15733-00","PRESSURE TRANSMITTER ; GEFRAN 0-10 BAR, PRECISION 0,25% FS; OUTPUT 4/20 MA, 24VDC, 2-WIRES
 AISI 316L; SERIAL NO. 12210317; CON 1 1/2 TRI-CLAMP, ELECT CON: 5-PIN - M12X1, IP67","0","1","1","-"
"O-15821-00","MCB Schneider C60H 1 phase 1 pole 4 A 100000A - P/N : - pc","0","1","1","-"
"O-16321-00","General - 2/2 Way Diaphragm Valve Metal Aseptic; SED; 207.15.7.545.51.125.SF1; 1 Pc","0","1","1","-"
"O-16732-00","Autoclave Fedegari FVA2/A1 NB2963AT - KIT Ricambi Valv. DN10 ON-OFF FEDEGARI ASIA PTE LTD P/N : KS000025 pc","3","4","1","I-3-5"
"O-17030-00","cRABS Z064CR -  Treaded Three Port Seat Valve VOBG320 3/4inch G","0","1","1","-"
"O-20951-00","cRABS Z064CR - Treaded Three Port Seat Valve VOBG320 3/4inch; Steriline; 28725; 1 Pc","0","1","1","-"
"O-20953-00","Washing RAR4 - Compact Cylinder (w/o Non Rotating); Univer; RP 200 016 0015; 1 Pc","0","1","1","-"
"O-21092-00","EDM EDM1 - PNEUMATIC MEMBRANE VALVE 1/2' (DN15) 605 15 D 80 40 17 10/N 1536; -; 5189; 1 Pc","0","1","1","-"
"O-50834-00","Autoclave Fedegari FOF / 6 AC - P/N. GM805664 Pressure Transducer and Mouting Par Replaces CD230046; ; ;","0","1","1","-"
"O-51652-00","Safety Sensor, Type : BNS 120-11z, 250mA, 3VA/W,100 VAC/DC,M12 x 1 K-ST; ; ;","0","1","1","-"
"O-51701-00","COIL FOR REFRIGERATION SOLENOID VALVES(DC24V)","0","1","1","-"
"O-51709-00","ELECTROVALVE 3/4GAS FF 24V DC N.C.COMPOSED BY:BODY NC 3/4 NBR FOR FLUIDS, COIL U1 5VA 24VDC ZB10A","0","1","1","-"
"O-51718-00","FORK SENSOR MODEL WFL80-60B416; CONNECTOR M8 4PIN, PNP-NPN, TEACH-IN; FORK DEPTH: 60MM
 FORK HIGHT: 80MM;","0","1","1","-"
"O-51721-00","PROXIMITY SENSOR, DATALOGIC M8 FLUSH 2X PNP NC IS-08-G2-S1","0","1","1","-"
"O-51722-00","PROXIMITY SENSOR, DATALOGIC M12 NON FLUSH SHORT PNP NO IS-12-D1-S2","0","1","1","-"
"O-51723-00","PROXIMITY SENSOR, DATALOGIC M12 FLUSH SHORT 2X PNP NO IS-12-G1-S2","0","1","1","-"
"O-51728-00","NITROGEN PRE-GAS FLOW CHECK SENSOR ; TURCK / UPROX ;SENSOR NO 10-30 VDC, 200MA","0","1","1","-"
"O-51735-00","SENSOR OPTICAL FIBER, KEYENCE PNP OUTPUT CONNECTOR M8 FS-V31CP AMPLIFIER ;","0","1","1","-"
"O-51738-00","SENSOR PROXIMITY ,SCHMERSAL ; BNS-260 FOR DOOR PART NO 14056","0","1","1","-"
"O-51740-00","SENSOR PROXIMITY M12 NON FLUSH SHORT PNP NO ; DATA LOGIC","0","1","1","-"
"O-51743-00","SENSOR TEMPERATUR PT100 7 METER 4 WIRE PART NO :PM600083","0","1","1","-"
"O-51746-00","SENSOR NO 10-30 VDC, 200MA; NITROGEN POST-GAS FLOW CHECK SENSOR ;","0","1","1","-"
"O-51749-00","VIALS MAXIMUM LOAD SENSOR ; KEYENCE ; AMPLIFIER SENSOR OPTICAL FIBER PNP OUTPUT CONNECTOR M8 code: FS-V31CP;","0","1","1","-"
"O-51775-00","WAGO 750-461 2-CHANNEL ANALOG INPUT MODULE STD PACK: 1EA; ; ;","0","1","1","-"
"O-51819-00","Pressure transmitter -50/ +200 Pa output 4-20 mA 24VDC Precision: +-1%; Model: PIZ (2 wires); P/N :; ; ;","0","1","1","-"
"O-51821-00","Pressure transmitter -100 / +100Pa output 4-20 mA 24VDC Precision: +-1% ; Model: PIZ (2 wires); P/N; ; ;","0","1","1","-"
"O-51838-00","Compact Cylinder (w/o Non Rotating); TYPE : RP 200 016 0015; ; ;","0","1","1","-"
"O-51920-00","General - Temperature sensor PT100, 4 wire, class AA, Duplex, c/w 10m silicon cable; Radix; RAC241-D-10-PN; 1 Pc","0","1","1","-"
"O-52210-00","Autoclave Fedegari FVA2/A1 NB2963AT - Level Transmitter code 15218 2m p/n: CD050024; ; ;","0","1","1","-"
"O-52530-00","General - Sensor PH Meter Type : InPro3250/120/PT1000; Mettler Toledo; 52002548; 1 Pc","0","1","1","-"
"O-52984-00","Inverter Power Module PM240-2 2,2KW Sinamic; Siemens; ;","0","1","1","-"
"O-52985-00","Inverter Power Module PM240-2 7,5KW Sinamic; Siemens; ;","0","1","1","-"
"O-53208-00","Tunnel ST1L - Fan mod. MN-300 - RD0 - stainless steel HP 0.25 - 4P - B5 - V.230/400 50 Hz Motor 63-B;Steriline;23284;","0","1","1","-"
"O-53210-00","Tunnel ST1L - Fan MN-402-SV-Stainless Steel HP 0,33 - 2P -B5 - V.230/400 - RD0 Motor 63-B2 kW 0.25 +;Steriline;14519;","0","1","1","-"
"O-53218-00","Mixing Tank - Sensor RTD 2X 100 Ohm (Duplex) with Transmitter Dia 6x81mm Mat SUS316 Class A; Custom/Lokal; -; 1 Pc","0","1","1","-"
"O-53455-00","cRABS Z064CR - Supply Fan inverter, Ziehl Abegg Frequency converter PXDM6A; ; 24399; 1 Pc","0","1","1","-"
"O-53457-00","EDM EDM1 - Motor Starwheel - Motor TG63 0,18 kW - 4P - B5 - 230V - 50 Hz MEC63; encoder 1000 I/G Lin; ; 29274; 1 Pc","0","1","1","-"
"O-53461-00","cRABS Z064CR - Pressure transmitter -50/ +200 Pa output 4-20 mA 24VDC Precision: +-1%; Model: PIZ (2; ; ; 1 Pc","0","1","1","-"
"O-53463-00","Filling VFM100 - PROXIMITY SENSOR, DATALOGIC  M8 FLUSH 2X PNP NC IS-08-G2-S1; ; 204172; 1 Pc","0","1","1","-"
"O-53467-00","Tunnel ST1L - OVERHEAT PROTECTION THERMOSTAT, JUMO ATHS-70/U; POWER: AC 230 VOLT / 10 AMP.; RANGE: 2; ; 15809; 1 Pc","0","1","1","-"
"O-53484-00","Filling VFM100 - Filler Main Servo Motor G5 220V, 750W, 2.4 Nm, 3000 rpm, 204156; Omron; R88M-K75030T-BS2; 1 Pc","0","1","1","-"
"O-53487-00","EDM EDM1 - PRESSURE TRANSMITTER; 0-10 BAR; PRECISION 0,25% FS; OUTPUT 4/20 MA, 24VDC, 2-WIRES; CONTA; GEFRAN; 16866; 1 Pc","0","1","1","-"
"O-53635-00","Marchesini MA155 - Inverter 1/N/PE AC 230/240V 0,37KW; Lenze; E84AVSCE3712SX0; 1 Pc","0","1","1","-"
"O-53645-00","Autoclave Fedegari FVA2/A1 - Pressure Transducer PBMN 23 (CD230065); Baumer; -; 1 Pc","0","1","1","-"
"O-54006-00","General - MCB 1 PHASE 10 AMPERE; Schneider; -; 1 Pc","0","1","1","-"
"O-54009-00","MCB 1 PHASE, SIEMENS, 2 POLE 2 AMPERE","0","1","1","-"
"O-54010-00","MCB 1 PHASE, SIEMENS, 2 POLE 4 AMPERE","0","1","1","-"
"O-54011-00","MCB 3 PHASE, SIEMENS, 2 AMPERE","0","1","1","-"
"P-10389-00","General - Ball Valve PVC 1 1/2inch; No Brand; -; 1 pcs","0","1","1","-"
"P-11837-00","Ball valve PVC dia 1 inch drat","0","1","1","-"
"P-13370-00","General - Pulser SCR Heater Controller Wall Mounted 0-10 VD DC; Regin; 240-X010; 1 unit","0","1","1","-"
"P-15419-00","Sensor Turck No 10-30 VDC, 200mABi8U-Q08-AP6X2-V1131; Turck; ;","0","1","1","-"
"P-18066-00","General - Hepa Filter H13 (99,95%) Size: 610 x 610 x 90; Camfil; -; 1 Pc","0","1","1","-"
"P-51745-00","MCB Schneider C60H 1 phase 1 pole 6A 10000A; ; ;","0","1","1","-"
"P-52033-00","Inverter HVAC Drives FC-102 2,2 kw 380-480 V Danfoss; ; ;","0","1","1","-"
"P-52420-00","General - Ceiling Exhaust Fan; KDK; FV-25TGU5; 1 Pc","0","1","1","-"
"P-52709-00","General - Pressure Transmitter TPS30-G27AR2-00; Autonics; -; 1 pc","0","1","1","-"
"P-53259-00","UV Sensor PIN : 270264040; Hanovia; ;","0","1","1","-"
"T-25454-00","Filter Flag, 2998, Classic; Waters; 700003767;","0","1","1","-"
"O-14594-00","Kit, membrane ozone 6510 METTLER TOLEDO INDONESIA, PT P/N : -  pc","0","1","1","-"
"O-15492-00","SPA 1132 Brand : Optibelt / Bando Merah - P/N : - pc","0","1","1","-"
"O-15581-00","DOOR SAFETY SWITCHES ; SCHMERSAL ; MAGNET BPS-260","0","1","1","-"
"O-15615-00","HIGH PRECISION OPTICAL FIBER 10MM WIDTH FU-12; PART NO :201020","0","1","1","-"
"O-15616-00","HIGH PRECISION OPTICAL FIBER FU-7F; PART NO :201061","0","1","1","-"
"O-15707-00","CAMFILL ABSOLUTE FILTER 1FRK - 1W; H13; EFFICIENCY: 99,99% DOP - 0,3 MICRON C/W CERTIFICATE. FRAME MATERIAL: STAINLESS STEEL; DIMENSION: 457X610X150; CLASS DIN EN 1822: SERIAL NO. 00044345112","0","1","1","-"
"O-15718-00","General - SYNTHETIC FOOD GRADE; CRC; NSF H1; 1 Pc","3","4","1","Flammable"
"O-15719-00","TEMPERATURE PROBE JUMO ; MODEL PT100 SINGLE ELEMENT, 6 WIRES, DIAMETER 3MM, LENGTH 100MM; PART NO :25596","0","1","1","-"
"O-15720-00","TEMPERATURE PROBE ; JUMO; MODEL PT100 SINGLE ELEMENT, 3 WIRES, DIAMETER 3MM, LENGTH 250MM; PART NO :25597","0","1","1","-"
"O-15722-00","TEMPERATURE PROBE ;JUMO ; PT100 SINGLE ELEMENT, 3 WIRES, DIAMETER 3MM,; LENGTH 250MM; RANGE -200/600?C; MATERIAL: AISI321 (1.4541); PRECISION CLASS A (IEC751-2008); SILICONE CABLE LENGTH 10M","0","1","1","-"
"O-15723-00","TEMPERATURE PROBE PT100 DOUBLE ELEMENTS, 6 WIRES, DIAMETER 3MM,
 LENGTH 100MM; RANGE -50/600?C;MATERIAL: AISI321 (1.4541); PRECISION CLASS A (IEC751-2008); SILICONE CABLE LENGTH 10M","0","1","1","-"
"O-15727-00","VACUUM LEVEL SWITCH ; Vuototecnica ;
 DIGITAL VACUUM LEVEL SWITCH Code: 120511/P","0","1","1","-"
"O-15875-00","Flexible Plate; Material = SUS316 L T= 1.2mm; ; ;","0","1","1","-"
"O-16571-00","Marchesini MA155 - Conveyor Belt TS10 570 x 40 Habasit p/n:C720005740; Habasit; C720005740; 1 Pc","0","1","1","-"
"O-19372-00","Washing RAR4 - Needle PW, OD.15mmx123mm, Material SS 319; ; ;","0","1","1","-"
"O-20040-00","Mixing Tank Adam MV - Impeller Silicon Carbide SS 316L USM T10; Novaseptic; G10-015;","0","1","1","-"
"O-21126-00","cRABS Z064CR - Security PHOCELLS 7209 - plastic body; Protection P67; Receiver, max. di; Omron; E3FS-10DB4-P1 / E3FS-10LB-P1; 1 Pc","0","1","1","-"
"O-51000-00","Colamark - Print Head; Domino; EPP001359 SP; 1 Pc","0","1","1","-"
"O-51687-00","Relay OMRON G2A-432A-N DC + socket Omron","0","1","1","-"
"O-51703-00","TEMPERATURE PROBE JUMO PT100 DOUBLE ELEMENTS, 6 WIRES, DIAMETER 3MM; LENGTH 350MM; RANGE -50/600?C; PRECISION CLASS A (IEC751-2008); PART NO :25595; SILICONE CABLE LENGTH 10M; SHEET NO. 393-04 (TE31) 393-03 (TE32)","0","1","1","-"
"O-51747-00","TEMPERATURE PROBE ;PRODUCT ; TE2/TE2R ;","0","1","1","-"
"O-52826-00","General - SV55 252072 6213 S.S+FKM I/O: NPT1/4 Inch Orifice:10mm Kv=2m3/h NC DC24V; BURKERT; EB14-00035; 1 Pc","0","1","1","-"
"O-53391-00","General - Profibus Connector Simatic; SIEMENS; 6ES7972-0BA52-0XA0; 1 Pc","0","1","1","-"
"O-53475-00","cRABS Z064CR - Cooling water three way Actuator, Coster, 28715, CLNV150, Linear actuator for three w; ; 28715; 1 Pc","0","1","1","-"
"O-53510-00","Tunnel ST1L - Finned Heater U Form Dia 11x520mm 230V-1200W; Custom/Lokal; -; 1 Pc","1","2","1","-"
