"item_code","deskripsi","qty_on_hand","min_stock","selisih","lokasi_rak"
"O-53456-00","EDM EDM1 - MAXIMUM LOAD AT INFEED SENSOR, Omron, E3Z-LS86, Photocell settable distances, type PNP, D; ; 5908; 1 Pc","1","1","0","-"
"O-53460-00","EDM EDM1 - Pressure transmitter -100 / +100Pa output 4-20 mA 24VDC Precision: +-1% ; Model: PIZ (2 w; ; 16456; 1 Pc","1","1","0","T-3-19"
"O-53462-00","Filling VFM100 - PROXIMITY SENSOR, DATALOGIC  M12 NON FLUSH SHORT PNP NO IS-12-D1-S2; ; 204170; 1 Pc","1","1","0","-"
"O-53464-00","Filling VFM100 - SENSOR NO 10-30 VDC, 200MA; NITROGEN POST-GAS  FLOW CHECK SENSOR; ; 202196; 1 Pc","1","1","0","-"
"O-53465-00","cRABS Z064CR - SENSOR PROXIMITY M12 NON FLUSH SHORT PNP NO ; DATA LOGIC; ; 204171; 1 Pc","1","1","0","-"
"O-53478-00","Filling VFM100 - Vacuump pump Vane balde; VT 4.16; Becker; 90134700007; 1 Pack","1","1","0","-"
"P-10387-00","Ball Valve Kuningan 3/4"" KITZ","2","2","0","S-2-7"
"P-10391-00","Ball Valve PVC 2""","2","2","0","-"
"P-11838-00","General - Ball Valve PVC 3/4inch; No Brand; -; 1 pcs","2","2","0","-"
"P-13388-00","General - Ball Valve 1/2inch; KITZ; -; 1 pcs","1","1","0","-"
"P-52767-00","Freeze Dryer MBE1207 - Solenoid Valve 5/8 Inch EVR 15 032F1228; Danfoss; ;","1","1","0","D-1-4"
"P-53202-00","HVAC - Programmable RH & Temp. transmitter MF-HTT 0-100% RH dan 0-100 deg.C 24VAAC Micatrone; ; ;","1","1","0","F-1"
"P-53362-00","Contactor Schneider LC1D09M7 Coil 220 VAC; ; ;","1","1","0","E-3-8C"
"O-14643-00","EPDM Gasket for Ferrule dia. 3""; ; ;","10","10","0","M3"
"O-15591-00","FILTER ABSOLUTE - CAMFILL 1FRSI - 1SI 762X457X150; CLASS H13, DIN EN 1822, FRAME: STAINLESS STEEL - 99,95% MPPS; SERIAL NO. 00083616122 (for Cooling chamber)","1","1","0","Ruang Flter"
"O-15592-00","FILTER ABSOLUTE, CAMFILL - 1ER(GS) - 1PU; DIN EN 1822 : H14; EFFICIENCY: 99,995% MPPS; DIMENSION: 305X457X150; SERIAL NO. 060052-15122","1","1","0","-"
"O-15905-00","Temperature probe model PT100; single element, 3 wires diameter 3mm, length 250mm, Total silicone ca; ; ;","1","1","0","C2"
"O-15913-00","Fedegari FVA2/A1 - CENTERING RING DN35 CLAMP; Code : PP100897; ; ;","1","1","0","E3"
"O-15915-00","Fedegari FVA2/A1 - DN16 ASTM CAP; Code : PM102747; ; ;","1","1","0","-"
"O-15916-00","Fedegari FVA2/A1 - CLAMP DN10 1/2"" (MICROCASTED); Code : GM100017; ; ;","1","1","0","E3"
"O-16570-00","Marchesini MA155 - Conveyor Belt TS10 720 x 40 Habasit p/n:C720007240","1","1","0","G-2"
"O-16573-00","Marchesini MA155 - Conveyor Belt TS10 290 x 40 Habasit p/n:C720002940","1","1","0","G-2"
"O-16980-00","General - Diaphragm 40 mm ER Grade EPDM; Saunders; DA040ER M4; 1 Pc","18","18","0","D3"
"O-17669-00","INPRO 6860i/12/120/nA, Operating Range : 8 ppb - 60% O2 Sat. Measured Pressure Resistance : 0 bar - METTLER TOLEDO INDONESIA, PT P/N : - pc","1","1","0","E-4"
"O-17831-00","Gear Door Autoclave, HARRISA CIPTARINDO ENGINEERING, CV P/N : -  pc","1","1","0","E-3-3D"
"O-17960-00","Mixer Male Bearing, GMP, pH Range: pH1  pH14, 1/pack; NovAseptic; ;","1","1","0","E-4"
"O-17996-00","Freeze Dryer MBE1207 - Slot Door Pressure Gasket P/N : EDF01-02008; ; ;","1","1","0","D5"
"O-18124-00","Mixing Tank Adam - USM T60 Impeller with 20mm Silicon Carbide, G10-012; ; ;","1","1","0","E-4"
"O-18125-00","Mixing Tank Adam - USM T60 Male Bearing Pin 20mm Silicon Carbide, G20-008; ; ;","1","1","0","E-4"
"O-18446-00","General - Silicone Guide Infeed; Custom/Lokal; -; 1 Pc","1","1","0","-"
"O-18447-00","General - Silicone Guide Outfeed; Custom/Lokal; -; 1 Pc","1","1","0","-"
"O-18686-00","Autoclave Fedegari FVA2/A1 NB2963AT - DN6-8 CLAMP P/N: GM100029; ; ;","3","3","0","E1"
"O-18688-00","Autoclave Fedegari FVA2/A1 NB2963AT - DN20/DN22 CLAMP P/N: GM100067; ; ;","3","3","0","E1"
"O-18692-00","Autoclave Fedegari FVA2/A1 NB2963AT - DN10 Blind CAP P/N: PM102746; ; ;","1","1","0","E1"
"O-18891-00","Freeze Dryer MBE1207 - SV102 Coil 018F6857 DC24V p/n: EB15-00306; DANFOSS; ;","1","1","0","D-2-9C"
"O-18915-00","Freeze Dryer MBE1207 - Pneumatic Actuator 93-0635FC-11300-532 P/n: EB14-00085; BRAY; ;","1","1","0","D4"
"O-18917-00","Freeze Dryer MBE1207 - OIL COOLING WATER REGULATOR 003N0107 AVTA15 G 1/2 Inch Kv=1.9m3/h Temperature; DANFOSS; ;","1","1","0","D-2-11"
"O-18929-00","Freeze Dryer MBE1207 -  FILTER Cartridge SANRONG FILTER ELEMENT for SFR487T Housing P/N : EDF16-01060; ; ;","2","2","0","D-2-5B"
"O-18962-00","Capping VCM200 - Adjuster Screw Blade; ; ;","1","1","0","-"
"O-18963-00","Capping VCM200 - Clamp Holder; ; ;","1","1","0","-"
"O-18964-00","Capping VCM200 - Holder; ; ;","1","1","0","-"
"O-18965-00","Capping VCM200 - Spring Head; ; ;","1","1","0","-"
"O-18966-00","Capping VCM200 -  Ring Washer; ; ;","1","1","0","-"
"O-18967-00","Capping VCM200 - Washer A; ; ;","1","1","0","-"
"O-18968-00","Capping VCM200 - Washer B; ; ;","1","1","0","-"
"O-19005-00","Misumi - Linear Shaft PSFAA8-46-F11-P6-M3-N3; ; ;","1","1","0","A-2-11A"
"O-19212-00","Freeze Dryer MBE1207 -  Orifice No. 03 068-2006; Danfoss; ;","4","4","0","D-2-8A"
"O-19340-00","Washing RAR4 - Guide Rell Outfeed, Machining Plate Material Pom Putih; ; ;","1","1","0","-"
"O-19341-00","Washing RAR4 - Set Giude Rell Outfeed, Machining Plate Material Pom Putih; ; ;","1","1","0","-"
"O-19342-00","Washing RAR4 - Pendorong Pusher Outfeed, Machining Plate Material Pom Putih; ; ;","1","1","0","-"
"O-19373-00","Washing RAR4 - Guide Vial Turn Table, OD.161mm x tebal 12mm, Material Nylon; ; ;","1","1","0","-"
"O-19380-00","Minipleat filters panel F781, size: 610x610x292 Class (EN 1822) : H14 - 99,995% MPPS; Hencolin; ;","1","1","0","-"
"O-19381-00","General - HEPA filter H14 minipleat, size: 305x305x69 Class (EN 1822)- 99,995% MPPS; Hencolin; -; 1 Pc","1","1","0","-"
"O-19386-00","HEPA FILTER 610 x 610 x 305 Class: H14 - 99,999%; Hencolin; ;","2","2","0","-"
"O-19798-00","Clamp Vacuum KF16 Alumunium; ; ;","10","10","0","D-3"
"O-19822-00","Flexible Front End 916 - (125.0 - 125.0)","1","1","0","-"
"O-19894-00","Capping VCM200 - Guide Starwheel Vial Pom hitam 319x329x17 mm; Custom; ;","1","1","0","-"
"O-20230-00","Washing RAV4 - Black Arm Mat. SUS 304; Custom/Lokal; -; 1 Pc","2","2","0","-"
"O-20231-00","Washing RAV4 - Base Black Arm Mat. VCN; Custom/Lokal; -; 1 Pc","1","1","0","-"
"O-20296-00","General - Rotating Pincer Pneumatik  SMC MRHQ20D-180S-DIN00358","1","1","0","B-3"
"O-20496-00","General - Diaphragm Grade ER SQUARE Type A EPDM Diaphragm Screw; Saunders; DP008ER; 1 Pc","6","6","0","R-4-4"
"O-20555-00","Marchesini MA155 - Lower Belt Shaft Complete, 21. 4. 0. 1/0 395K; -; M660010001; 1 Pc","1","1","0","G-2"
"O-20556-00","Marchesini MA155 - Upper Belt Shaft, 21. 4. 0. 1/0. 394K; -; M660010002; 1 Pc","1","1","0","G-2"
"O-20982-00","Autoclave FVA2/A1 - SILICONE GASKET FO-5 900X1300; Fedegari; PP600076; 1 Pc","1","1","0","-"
"O-21124-00","Autoclave Service NA2247AU - O ring 15.47x3.53; Fedegari; CC150170; 1 Pc","5","5","0","I-3-6"
"O-21125-00","Autoclave Service NA2247AU - O ring 34.52x3.53; Fedegari; CC150171; 1 Pc","5","5","0","I-3-6"
"O-21127-00","Freeze Dryer Lyofast 10 - Sight Glass Seal Silicone O-ring OD 170,6 ID 160 Tebal 5.3; ; ; 1 Pc","5","5","0","-"
"O-21284-00","General - Isolator Gloves 000080 E10330 CNS 7 E3 5 Neoprene No Staining; Piercan; SG010138; 1 Pc","23","23","0","-"
"O-21485-00","General - Isolator Glove CSM Port size 8 Inch Length : 800 mm, Thick : 15mil/0.4mm; TRON; 8Y1532A0975; 1 Pc","15","15","0","-"
"O-50827-00","General - Opto CapBT02T Operating Range 8 ppb - 60% O2 Sat P/N 30018857, Measured Pressure Resistance : 0-6 bar; Mettler Toledo; 30018857; 1 Pc","1","1","0","E-4"
"O-50994-00","Battery kering 12V 7,2AH; ; ;","1","1","0","R-2-11"
"O-51309-00","WAGO 750-333 I/O SYSTEM PROFIBUS DP/FMS-12 MBAUD-DPV1-COUPL","1","1","0","B-4"
"O-51818-00","RTD - Single Element. Built according to directive 94/9/CE ATEX II 2GD Ex d IIC T6; Temperature Rang; ; ;","1","1","0","C-2-4"
"O-51996-00","General - Pulsed DC Ionising Bar Hyperion 929IPS Length 325mm; Steriline; 1096041; 1 Pc","1","1","0","C-2"
"O-52240-00","WAGO 750-623 Supply Modul Input 5-15 V","1","1","0","B-3-6D"
"O-52845-00","Freeze Dryer MBE1207 - SV169 Coil MKC-1 AC220V P/n: EB15-00507; MYCOM; ;","2","2","0","D-1-9A"
"O-53195-00","Tunnel ST1L - Heater for Tight Door 500W-230V Stainless H 60mm L 455mm T 5mm Cable L 2m; Steriline; 6763; 1 pc","1","1","0","B-2"
"O-53196-00","Tunnel ST1L - Heating Element 75W-230Vac D 10mm L 120mm Gkass Fiber Cable 400C 2.5m; Steriline; 4462; 1 pc","1","1","0","B-2-6"
"O-53211-00","Filling VFM100 - Flow meter 40-500 NL/H (201787);INOX;Model 1900;","1","1","0","C-2"
"O-53442-00","Autoclave Service NA2247AU - Pressure Switch Alco Controls PS3-AJR 0.8-1 bar Assy; Fedegari; GP00045; 1 Pc","1","1","0","-"
"O-53466-00","cRABS Z064CR - DOOR SAFETY SWITCHES ; SCHMERSAL ; MAGNET BPS-260; ; 14061; 1 Pc","1","1","0","F-2-7"
"O-53476-00","Tunnel ST1L - High Precision Optical Fiber; Omron; E32T61S5M; ; ; 1 Pc","1","1","0","-"
"O-53477-00","Tunnel ST1L - Lens For Optic Fibers; Omron; E39F1; ; ; 1 Pc","1","1","0","-"
"O-53480-00","Tunnel ST1L - Amplifier PNP for Optical Fiber 12-24 VDC; Omron; E3XNA41; ; ; 1 Pc","1","1","0","-"
"O-53481-00","Filling VFM100 - TEMPERATURE PROBE ;  MODEL PT100 SINGLE ELEMENT, 3 WIRES, DIAMETER 3MM, LENGTH 250M; Jumo; 29274; 1 Pc","1","1","0","-"
"O-53482-00","Filling VFM100 - VACUUM LEVEL SWITCH ; DIGITAL VACUUM LEVEL SWITCH Code: 120511; Vuototecnica; 202545; 1 Pc","1","1","0","S-2-16"
"O-54115-00","Fiber Amplifier -; KEYENCE; FS-V31CP;","1","1","0","B-3-5"
"O-54116-00","Fiber Reflective -; KEYENCE; FU-67V;","1","1","0","A-2-3"
"P-11392-00","Seal Ferrule EPDM 2""","30","30","0","M3"
"P-12083-00","General - Clamp Selang, SS, 1/2""; Tridon; -; 1 pcs","3","3","0","-"
"P-12488-00","General - Mata Bor Besi, dia. 4 mm; NACHI; -; 1 pcs","1","1","0","S-2-8"
"P-12819-00","Sock PVC AW dia 1/2inch","5","5","0","Klaris"
"P-13600-00","General - Besi Pejal, SS 304, dia. 8 mm; No Brand; -; 1 pcs","1","1","0","-"
"P-13735-00","Cable Duct Round Putih 35 x 10 mm; ; ;","1","1","0","-"
"P-13787-00","General - IAF HB Series (H13) Minimum eff.: 99.99% on 0.3 micron, Size: 305 x 305 x 292mm; IAF; -; 1 pc","1","1","0","-"
"P-14457-00","General - Filter IAF MBV Series (Medium Filter), efficiency : 90-95 %, Size: 24 x 24 x 12 inch; IAF; -; 1 pcs","1","1","0","Ruang Filter"
"P-14948-00","Fitting Male Elbow KQ2L08-02AS; ; ;","3","3","0","R-2-8"
"P-15438-00","General - Cable Spiral Wrapping; KSS; KS12; 1 Pc","2","2","0","J-5"
"P-15817-00","General - Gasket Teflon Lembaran, Tebal 5mm, Size: 1000 x 1000mm; No Brand; -; 1 pc","1","1","0","Biru"
"P-16972-00","Vent Filter HE Press 6.5 bar, temp. 40C ; Brand : NOVASIP ( PALL ) ; P/N : C3PFRPI , IT09556493 ; Pack Size : pcs","2","2","0","F-1"
"P-17867-00","Clamp Ferrule SS304 dia 2""; ; ;","3","3","0","R-4-5"
"P-19255-00","Plastic Tubing PUN-H-14x2-BL; Festo; 570386;","50","50","0","-"
"P-20309-00","General - Hole Saw TCT Kugel 100 mm; Kugel; ;","1","1","0","S-3-5"
"P-50274-00","General - Kabel NYAF Uk. 1 x 0.75mm, Warna Merah; Supreme; -; 100meter/roll","50","50","0","S-3-3"
"P-50959-00","Fuse kaca 3A 6x30","3","3","0","Kennedy"
"P-51739-00","TOR Schneider LRD05 0,63 - 1,0 A; ; ;","1","1","0","H-3-4"
"P-52254-00","General - Capacitor, 40 mF, 400/450 VAC; No Brand; -; 1 pcs","1","1","0","S-2-4"
"Q-10128-00","Thinner Super End/Impala @ 1 Liter","3","3","0","Flammable"
"Q-10817-00","Door Closer Type: TS77 Hold Open; DORMA; ;","1","1","0","O-4"
"Q-60401-00","Handle Pintu Bulat, Elbow Press Lock; Meroni; N13NE TB127;","1","1","0","N-2"
